Model,Context Size,Memory Used (MB),Inference Time (ms)
ISANPv2(8),10,342.0,429.5657595316569
ISANPv2(8),150,566.175,393.293630472819
ISANPv2(8),500,1240.225,396.9657442728678
ISANPv2(8),1000,2216.1916666666666,447.52652842203776
ISANPv2(8),1500,2948.358333333333,512.4391616821289
ISANPv2(8),2000,3922.1666666666665,503.00166575113934
ISANPv2(8),2500,4940.025,586.6853614807129
ISANPv2(8),3000,5718.275,949.5031565348307
ISANPv2(64),10,342.2,355.32853342692056
ISANPv2(64),150,568.05,362.9346331278483
ISANPv2(64),500,1241.1416666666667,392.6152313232422
ISANPv2(64),1000,2216.2833333333333,442.4196891784668
ISANPv2(64),1500,2965.233333333333,519.808011118571
ISANPv2(64),2000,3924.4,553.1496757507324
ISANPv2(64),2500,4900.091666666666,586.1199864705403
ISANPv2(64),3000,4981.675,944.046647644043
ISANPv2(128),10,342.03333333333336,356.6143038431803
ISANPv2(128),150,569.0916666666667,379.9098737080892
ISANPv2(128),500,1240.275,395.07707595825195
ISANPv2(128),1000,2215.075,440.8291264851888
ISANPv2(128),1500,2946.358333333333,504.05688807169594
ISANPv2(128),2000,3922.1,545.9760828653972
ISANPv2(128),2500,4897.258333333333,593.1865493774415
ISANPv2(128),3000,4630.525,4098.329103597005
